Winner for lottery draw 0: [pid: 30, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.028000ms.
Winner for lottery draw 1: [pid: 18, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.021000ms.
Winner for lottery draw 2: [pid: 803, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 3: [pid: 1601, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 4: [pid: 3840, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 5: [pid: 8686, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.022000ms.
Winner for lottery draw 6: [pid: 7224, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 7: [pid: 758, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 8: [pid: 1703, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.019000ms.
Winner for lottery draw 9: [pid: 4125, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.021000ms.
Winner for lottery draw 10: [pid: 244, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.019000ms.
Winner for lottery draw 11: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.021000ms.
Winner for lottery draw 12: [pid: 12, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 13: [pid: 1377, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.018000ms.
Winner for lottery draw 14: [pid: 399, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.018000ms.
Winner for lottery draw 15: [pid: 29, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 16: [pid: 1649, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 17: [pid: 1916, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.020000ms.
Winner for lottery draw 18: [pid: 803, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 19: [pid: 22, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.020000ms.
Winner for lottery draw 20: [pid: 283, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 21: [pid: 811, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 22: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 23: [pid: 1877, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.014000ms.
Winner for lottery draw 24: [pid: 284, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.019000ms.
Winner for lottery draw 25: [pid: 366, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 26: [pid: 868, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 27: [pid: 758, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.016000ms.
Winner for lottery draw 28: [pid: 1579, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.018000ms.
Winner for lottery draw 29: [pid: 395, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.016000ms.
Winner for lottery draw 30: [pid: 402, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 31: [pid: 1060, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 32: [pid: 1583, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 33: [pid: 4014, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.020000ms.
Winner for lottery draw 34: [pid: 1522, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 35: [pid: 1656, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 36: [pid: 3261, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.031000ms.
Winner for lottery draw 37: [pid: 412, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.018000ms.
Winner for lottery draw 38: [pid: 801, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 39: [pid: 366, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 40: [pid: 409, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.015000ms.
Winner for lottery draw 41: [pid: 251, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.019000ms.
Winner for lottery draw 42: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.019000ms.
Winner for lottery draw 43: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.020000ms.
Winner for lottery draw 44: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.012000ms.
Winner for lottery draw 45: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.021000ms.
Winner for lottery draw 46: [pid: 1508, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.027000ms.
Winner for lottery draw 47: [pid: 2301, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 48: [pid: 1118, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.011000ms.
Winner for lottery draw 49: [pid: 166, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.010000ms.
Winner for lottery draw 50: [pid: 7224, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 51: [pid: 141, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 52: [pid: 144, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 53: [pid: 39, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.013000ms.
Winner for lottery draw 54: [pid: 1508, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.010000ms.
Winner for lottery draw 55: [pid: 1405, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.012000ms.
Winner for lottery draw 56: [pid: 766, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.010000ms.
Winner for lottery draw 57: [pid: 943, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.011000ms.
Winner for lottery draw 58: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 59: [pid: 1419, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.012000ms.
Winner for lottery draw 60: [pid: 250, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 61: [pid: 445, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 62: [pid: 135, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 63: [pid: 284, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 64: [pid: 521, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 65: [pid: 4120, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 66: [pid: 1534, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 67: [pid: 403, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 68: [pid: 284, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 69: [pid: 173, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 70: [pid: 22, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 71: [pid: 1881, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 72: [pid: 166, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 73: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 74: [pid: 1582, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 75: [pid: 1581, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.009000ms.
Winner for lottery draw 76: [pid: 1746, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 77: [pid: 33, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.010000ms.
Winner for lottery draw 78: [pid: 285, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 79: [pid: 259, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 80: [pid: 251, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 81: [pid: 1797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 82: [pid: 248, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 83: [pid: 7335, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 84: [pid: 153, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 85: [pid: 1508, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 86: [pid: 37, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 87: [pid: 166, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 88: [pid: 1604, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 89: [pid: 1782, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 90: [pid: 41, nice: 5, tickets: 37, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 91: [pid: 471, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 92: [pid: 147, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 93: [pid: 166, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 94: [pid: 1618, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 95: [pid: 442, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 96: [pid: 155, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 97: [pid: 178, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 98: [pid: 7630, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 99: [pid: 471, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 100: [pid: 1419, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 101: [pid: 246, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 102: [pid: 20, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 103: [pid: 776, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 104: [pid: 1490, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 105: [pid: 1578, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 106: [pid: 402, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 107: [pid: 1118, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 108: [pid: 1703, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 109: [pid: 353, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 110: [pid: 1534, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 111: [pid: 2, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 112: [pid: 6, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 113: [pid: 166, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 114: [pid: 3261, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 115: [pid: 285, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 116: [pid: 244, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 117: [pid: 3893, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 118: [pid: 402, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 119: [pid: 6854, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 120: [pid: 354, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 121: [pid: 140, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 122: [pid: 2081, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.008000ms.
Winner for lottery draw 123: [pid: 22, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 124: [pid: 4125, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 125: [pid: 544, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 126: [pid: 27, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 127: [pid: 249, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.007000ms.
Winner for lottery draw 128: [pid: 780, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 129: [pid: 1655, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 130: [pid: 1759, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 131: [pid: 27, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 132: [pid: 382, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 133: [pid: 3845, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 134: [pid: 8668, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 135: [pid: 382, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 136: [pid: 1721, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 137: [pid: 16, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 138: [pid: 252, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 139: [pid: 801, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 140: [pid: 11, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.006000ms.
Winner for lottery draw 141: [pid: 1516, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
